"time/s";"Ewe/V";"Ece/V";"Ewe-Ece/V";"I/mA";"(Q-Qo)/mA.h";"Q charge/mA.h";"Q discharge/mA.h";"cycle number";"Efficiency/%";"|Ewe|/V";"|Ece|/V";"freq/Hz";"Re(Z)/Ohm";"-Im(Z)/Ohm";"|Z|/Ohm";"Phase(Z)/deg"
3750,0001;-2,579565763473511E+000;-2,527046799659729E-001;-2,326861143112183E+000;-1,103064204461433E+001;-7,813523563674397E+000;0,000000000000000E+000;7,813523563674398E+000;0,000000000000000E+000;;;;;;;;
3780,0001;-2,582580566406250E+000;-2,539829313755035E-001;-2,328597545623779E+000;-1,103066461484984E+001;-7,905445766475995E+000;0,000000000000000E+000;7,905445766475996E+000;0,000000000000000E+000;;;;;;;;
3810,0001;-2,583553791046143E+000;-2,534869015216827E-001;-2,330066919326782E+000;-1,103070624553225E+001;-7,997368316199938E+000;0,000000000000000E+000;7,997368316199939E+000;0,000000000000000E+000;;;;;;;;
3840,0001;-2,584794044494629E+000;-2,530862390995026E-001;-2,331707715988159E+000;-1,103060906504884E+001;-8,089290056086540E+000;0,000000000000000E+000;8,089290056086540E+000;0,000000000000000E+000;;;;;;;;
3870,0001;-2,584965705871582E+000;-2,516553699970245E-001;-2,333310365676880E+000;-1,103071876684401E+001;-8,181212710154746E+000;0,000000000000000E+000;8,181212710154744E+000;0,000000000000000E+000;;;;;;;;
3900,0001;-2,587579727172852E+000;-2,527237534523010E-001;-2,334856033325195E+000;-1,103075305903415E+001;-8,273135649991195E+000;0,000000000000000E+000;8,273135649991193E+000;0,000000000000000E+000;;;;;;;;
3930,0001;-2,588400363922119E+000;-2,518080174922943E-001;-2,336592435836792E+000;-1,103065517142665E+001;-8,365057774097602E+000;0,000000000000000E+000;8,365057774097600E+000;0,000000000000000E+000;;;;;;;;
3960,0001;-2,588858366012573E+000;-2,507205605506897E-001;-2,338137865066528E+000;-1,103058997925963E+001;-8,456979354935964E+000;0,000000000000000E+000;8,456979354935962E+000;0,000000000000000E+000;;;;;;;;
3990,0001;-2,590289354324341E+000;-2,506060898303986E-001;-2,339683294296265E+000;-1,103051788924239E+001;-8,548900335024198E+000;0,000000000000000E+000;8,548900335024197E+000;0,000000000000000E+000;;;;;;;;
4020,0001;-2,592063903808594E+000;-2,506442368030548E-001;-2,341419696807861E+000;-1,103053841951762E+001;-8,640821486198055E+000;0,000000000000000E+000;8,640821486198053E+000;0,000000000000000E+000;;;;;;;;
4050,0001;-2,592063903808594E+000;-2,488890439271927E-001;-2,343174934387207E+000;-1,103052622408274E+001;-8,732742535743290E+000;0,000000000000000E+000;8,732742535743288E+000;0,000000000000000E+000;;;;;;;;
4080,0001;-2,592884302139282E+000;-2,482785284519196E-001;-2,344605684280396E+000;-1,103054921715202E+001;-8,824663776897431E+000;0,000000000000000E+000;8,824663776897429E+000;0,000000000000000E+000;;;;;;;;
4110,0001;-2,595422029495239E+000;-2,489844262599945E-001;-2,346437692642212E+000;-1,103038829848188E+001;-8,916583677626981E+000;0,000000000000000E+000;8,916583677626980E+000;0,000000000000000E+000;;;;;;;;
4140,0001;-2,596242666244507E+000;-2,485837936401367E-001;-2,347658872604370E+000;-1,103032446647652E+001;-9,008503047068066E+000;0,000000000000000E+000;9,008503047068064E+000;0,000000000000000E+000;;;;;;;;
4170,0001;-2,596681594848633E+000;-2,471147626638412E-001;-2,349566936492920E+000;-1,103059780940713E+001;-9,100424694366879E+000;0,000000000000000E+000;9,100424694366877E+000;0,000000000000000E+000;;;;;;;;
4200,0001;-2,597425699234009E+000;-2,465042620897293E-001;-2,350921392440796E+000;-1,103041830423477E+001;-9,192344845789274E+000;0,000000000000000E+000;9,192344845789272E+000;0,000000000000000E+000;;;;;;;;
4230,0001;-2,598685026168823E+000;-2,460273057222366E-001;-2,352657794952393E+000;-1,103039171233584E+001;-9,284264775612513E+000;0,000000000000000E+000;9,284264775612511E+000;0,000000000000000E+000;;;;;;;;
4260,0001;-2,598952054977417E+000;-2,447872310876846E-001;-2,354164838790894E+000;-1,103028692103666E+001;-9,376183832174936E+000;0,000000000000000E+000;9,376183832174934E+000;0,000000000000000E+000;;;;;;;;
4290,0001;-2,602501153945923E+000;-2,466759681701660E-001;-2,355825185775757E+000;-1,103017624014365E+001;-9,468101966396597E+000;0,000000000000000E+000;9,468101966396594E+000;0,000000000000000E+000;;;;;;;;
4320,0001;-2,602863788604736E+000;-2,455503493547440E-001;-2,357313394546509E+000;-1,103009460784006E+001;-9,560019420349068E+000;0,000000000000000E+000;9,560019420349064E+000;0,000000000000000E+000;;;;;;;;
4350,0001;-2,604332923889160E+000;-2,453404963016510E-001;-2,358992338180542E+000;-1,102997452934485E+001;-9,651935873647425E+000;0,000000000000000E+000;9,651935873647421E+000;0,000000000000000E+000;;;;;;;;
4380,0001;-2,605287075042725E+000;-2,449207752943039E-001;-2,360366344451904E+000;-1,103016864547549E+001;-9,743853944580184E+000;0,000000000000000E+000;9,743853944580181E+000;0,000000000000000E+000;;;;;;;;
4410,0001;-2,606279134750366E+000;-2,443293482065201E-001;-2,361949682235718E+000;-1,103019283294526E+001;-9,835772217075188E+000;0,000000000000000E+000;9,835772217075185E+000;0,000000000000000E+000;;;;;;;;
4440,0001;-2,574623823165894E+000;-2,110379189252853E-001;-2,363585948944092E+000;-1,103014961983795E+001;-9,927690129460970E+000;0,000000000000000E+000;9,927690129460967E+000;0,000000000000000E+000;;;;;;;;
